EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
Manufacture of electrical machinery and apparatus n.e.c. (31),"Manufacture of electric motors, generators and transformers",C,27.11,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Manufacture of electrical equipment,Manufacturing,C_27_271_2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Manufacture of electrical equipment,Manufacturing,C_27_271_2710
Manufacture of electrical machinery and apparatus n.e.c. (31),Manufacture of electricity distribution and control apparatus,C,27.12,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Manufacture of electrical equipment,Manufacturing,C_27_271_2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Manufacture of electrical equipment,Manufacturing,C_27_271_2710
Manufacture of machinery and equipment n.e.c. (29),"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",C,28.11,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2811
Chemicals nec,Manufacture of fertilisers and nitrogen compounds,C,20.15,Manufacture of fertilizers and nitrogen compounds,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2012,Manufacture of fertilizers and nitrogen compounds,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2012
N-fertiliser,Manufacture of fertilisers and nitrogen compounds,C,20.15,Manufacture of fertilizers and nitrogen compounds,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2012,Manufacture of fertilizers and nitrogen compounds,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2012
P- and other fertiliser,Manufacture of fertilisers and nitrogen compounds,C,20.15,Manufacture of fertilizers and nitrogen compounds,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2012,Manufacture of fertilizers and nitrogen compounds,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2012
Manufacture of electrical machinery and apparatus n.e.c. (31),Manufacture of fibre optic cables,C,27.31,Manufacture of fibre optic cables,Manufacture of wiring and wiring devices,Manufacture of electrical equipment,Manufacturing,C_27_273_2731,Manufacture of fibre optic cables,Manufacture of wiring and wiring devices,Manufacture of electrical equipment,Manufacturing,C_27_273_2731
Manufacture of machinery and equipment n.e.c. (29),Manufacture of fluid power equipment,C,28.12,Manufacture of fluid power equipment,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2812,Manufacture of fluid power equipment,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2812
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Manufacture of footwear,C,15.2,Manufacture of footwear,Manufacture of footwear,Manufacture of leather and related products,Manufacturing,C_15_152_1520,Manufacture of footwear,Manufacture of footwear,Manufacture of leather and related products,Manufacturing,C_15_152_1520
Manufacture of furniture; manufacturing n.e.c. (36),Manufacture of games and toys,C,32.4,Manufacture of games and toys,Manufacture of games and toys,Other manufacturing,Manufacturing,C_32_324_3240,Manufacture of games and toys,Manufacture of games and toys,Other manufacturing,Manufacturing,C_32_324_3240
Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas,D,35.21,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520
Manufacture of gas; distribution of gaseous fuels through mains,Distribution of gaseous fuels through mains,D,35.22,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520
Manufacture of gas; distribution of gaseous fuels through mains,Trade of gas through mains,D,35.23,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520,Manufacture of gas; distribution of gaseous fuels through mains,Manufacture of gas; distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_352_3520
Manufacture of glass and glass products,Manufacture of flat glass,C,23.11,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310
Re-processing of secondary glass into new glass,Manufacture of flat glass,C,23.11,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310
Manufacture of glass and glass products,Shaping and processing of flat glass,C,23.12,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310
Re-processing of secondary glass into new glass,Shaping and processing of flat glass,C,23.12,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310
Manufacture of glass and glass products,Manufacture of hollow glass,C,23.13,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310
Re-processing of secondary glass into new glass,Manufacture of hollow glass,C,23.13,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310
Manufacture of glass and glass products,Manufacture of glass fibres,C,23.14,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310,Manufacture of glass and glass products,Manufacture of glass and glass products,Manufacture of other non-metallic mineral products,Manufacturing,C_23_231_2310
