EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
Health and social work (85),Social work activities without accommodation for the elderly and disabled,Q,88.1,Social work activities without accommodation for the elderly and disabled,Social work activities without accommodation for the elderly and disabled,Social work activities without accommodation,Human health and social work activities,Q_88_881_8810,Social work activities without accommodation for older persons or persons with disabilities,Social work activities without accommodation for older persons or persons with disabilities,Social work activities without accommodation,Human health and social work activities,R_88_881_8810
Production of electricity by solar thermal,Production of electricity,D,35.11,Solar energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Solar energy production,"Electric power generation, transmission and distribution activities","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3513
Production of electricity by solar photovoltaic,Production of electricity,D,35.11,Solar energy production,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Solar energy production,"Electric power generation, transmission and distribution activities","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3513
Computer and related activities (72),"Data processing, hosting and related activities",J,63.11,"Data processing, hosting and related activities","Data processing, hosting and related activities; web portals",Information service activities,Information and communication,J_63_631_6311,Sound recording and music publishing activities,Sound recording and music publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities","Publishing, broadcasting, and content production and distribution activities",J_59_592_5920
"Publishing, printing and reproduction of recorded media (22)",Sound recording and music publishing activities,J,59.2,Sound recording and music publishing activities,Sound recording and music publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities",Information and communication,J_59_592_5920,Sound recording and music publishing activities,Sound recording and music publishing activities,"Motion picture, video and television programme production, sound recording and music publishing activities","Publishing, broadcasting, and content production and distribution activities",J_59_592_5920
Other business activities (74),Specialised design activities,M,74.1,Specialized design activities,Specialized design activities,"Other professional, scientific and technical activities","Professional, scientific and technical activities",M_74_741_7410,Specialized design activities,Specialized design activities,"Other professional, scientific and technical activities","Professional, scientific and technical activities",N_74_741_7410
Education (80),Sports and recreation education,P,85.51,Sports and recreation education,Other education,Education,Education,P_85_854_8541,Sports and recreation education,Other education,Education,Education,Q_85_855_8551
Steam and hot water supply,Steam and air conditioning supply,D,35.3,Steam and air conditioning supply,Steam and air conditioning supply,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_353_3530,Steam and air conditioning supply,Steam and air conditioning supply,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_353_3530
Animal products nec,Support activities for animal production,A,1.62,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_162,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0162
Cattle farming,Support activities for animal production,A,1.62,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_162,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0162
"Manure treatment (biogas), storage and land application",Support activities for animal production,A,1.62,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_162,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0162
"Manure treatment (conventional), storage and land application",Support activities for animal production,A,1.62,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_162,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0162
Meat animals nec,Support activities for animal production,A,1.62,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_162,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0162
Pigs farming,Support activities for animal production,A,1.62,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_162,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0162
Poultry farming,Support activities for animal production,A,1.62,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_162,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0162
Raw milk,Support activities for animal production,A,1.62,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_162,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0162
"Wool, silk-worm cocoons",Support activities for animal production,A,1.62,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_162,Support activities for animal production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0162
Cultivation of cereal grains nec,Support activities for crop production,A,1.61,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_161,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0161
Cultivation of crops nec,Support activities for crop production,A,1.61,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_161,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0161
Cultivation of oil seeds,Support activities for crop production,A,1.61,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_161,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0161
Cultivation of paddy rice,Support activities for crop production,A,1.61,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_161,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0161
Cultivation of plant-based fibers,Support activities for crop production,A,1.61,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_161,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0161
"Cultivation of sugar cane, sugar beet",Support activities for crop production,A,1.61,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_161,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0161
"Cultivation of vegetables, fruit, nuts",Support activities for crop production,A,1.61,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_161,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0161
Cultivation of wheat,Support activities for crop production,A,1.61,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_16_161,Support activities for crop production,Support activities to agriculture and post-harvest crop activities,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_01_016_0161
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Freshwater aquaculture,A,3.22,Freshwater aquaculture,Aquaculture,Fishing and aquaculture,"Agriculture, forestry and fishing",A_3_32_322,Support activities for fishing and aquaculture,Support activities for fishing and aquaculture,Fishing and aquaculture,"Agriculture, forestry and fishing",A_03_033_0330
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Marine aquaculture,A,3.21,Marine aquaculture,Aquaculture,Fishing and aquaculture,"Agriculture, forestry and fishing",A_3_32_321,Support activities for fishing and aquaculture,Support activities for fishing and aquaculture,Fishing and aquaculture,"Agriculture, forestry and fishing",A_03_033_0330
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Freshwater fishing,A,3.12,Freshwater fishing,Fishing,Fishing and aquaculture,"Agriculture, forestry and fishing",A_3_31_312,Support activities for fishing and aquaculture,Support activities for fishing and aquaculture,Fishing and aquaculture,"Agriculture, forestry and fishing",A_03_033_0330
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Marine fishing,A,3.11,Marine fishing,Fishing,Fishing and aquaculture,"Agriculture, forestry and fishing",A_3_31_311,Support activities for fishing and aquaculture,Support activities for fishing and aquaculture,Fishing and aquaculture,"Agriculture, forestry and fishing",A_03_033_0330
Mining of aluminium ores and concentrates,Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
Mining of coal and lignite; extraction of peat (10),Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
Mining of copper ores and concentrates,Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
Mining of iron ores,Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
"Mining of lead, zinc and tin ores and concentrates",Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
Mining of nickel ores and concentrates,Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
Mining of other non-ferrous metal ores and concentrates,Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
Mining of precious metal ores and concentrates,Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
Mining of uranium and thorium ores (12),Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
Quarrying of sand and clay,Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
Quarrying of stone,Support activities for other mining and quarrying,B,9.9,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_9_99_990,Support activities for other mining and quarrying,Support activities for other mining and quarrying,Mining support service activities,Mining and quarrying,B_09_099_0990
"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Support activities for petroleum and natural gas extraction,B,9.1,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Mining support service activities,Mining and quarrying,B_9_91_910,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Mining support service activities,Mining and quarrying,B_09_091_0910
"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Support activities for petroleum and natural gas extraction,B,9.1,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Mining support service activities,Mining and quarrying,B_9_91_910,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Mining support service activities,Mining and quarrying,B_09_091_0910
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",Support activities for petroleum and natural gas extraction,B,9.1,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Mining support service activities,Mining and quarrying,B_9_91_910,Support activities for petroleum and natural gas extraction,Support activities for petroleum and natural gas extraction,Mining support service activities,Mining and quarrying,B_09_091_0910
"Forestry, logging and related service activities (02)",Support services to forestry,A,2.4,Support services to forestry,Support services to forestry,Forestry and logging,"Agriculture, forestry and fishing",A_2_24_240,Support services to forestry,Support services to forestry,Forestry and logging,"Agriculture, forestry and fishing",A_02_024_0240
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Tanning and dressing of leather; dressing and dyeing of fur,C,15.11,Tanning and dressing of leather; dressing and dyeing of fur,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",Manufacture of leather and related products,Manufacturing,C_15_151_1511,Tanning and dressing of leather; dressing and dyeing of fur,"Tanning, dyeing, dressing of leather and fur; manufacture of luggage, handbags, saddlery and harness",Manufacture of leather and related products,Manufacturing,C_15_151_1511
Other business activities (74),Technical testing and analysis,M,71.2,Technical testing and analysis,Technical testing and analysis,Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities",M_71_712_7120,Technical testing and analysis,Technical testing and analysis,Architectural and engineering activities; technical testing and analysis,"Professional, scientific and technical activities",N_71_712_7120
Post and telecommunications (64),Other telecommunications activities,J,61.9,Other telecommunications activities,Other telecommunications activities,Telecommunications,Information and communication,J_61_619_6190,Telecommunication reselling activities and intermediation service activities for telecommunication,Telecommunication reselling activities and intermediation service activities for telecommunication,Telecommunications,"Telecommunications, computer programming, consultancy, computing infrastructure, and other information service activities",K_61_612_6120
Post and telecommunications (64),Satellite telecommunications activities,J,61.3,Satellite telecommunications activities,Satellite telecommunications activities,Telecommunications,Information and communication,J_61_613_6130,Telecommunication reselling activities and intermediation service activities for telecommunication,Telecommunication reselling activities and intermediation service activities for telecommunication,Telecommunications,"Telecommunications, computer programming, consultancy, computing infrastructure, and other information service activities",K_61_612_6120
Post and telecommunications (64),Wired telecommunications activities,J,61.1,Wired telecommunications activities,Wired telecommunications activities,Telecommunications,Information and communication,J_61_611_6110,Telecommunication reselling activities and intermediation service activities for telecommunication,Telecommunication reselling activities and intermediation service activities for telecommunication,Telecommunications,"Telecommunications, computer programming, consultancy, computing infrastructure, and other information service activities",K_61_612_6120
Post and telecommunications (64),Wireless telecommunications activities,J,61.2,Wireless telecommunications activities,Wireless telecommunications activities,Telecommunications,Information and communication,J_61_612_6120,Telecommunication reselling activities and intermediation service activities for telecommunication,Telecommunication reselling activities and intermediation service activities for telecommunication,Telecommunications,"Telecommunications, computer programming, consultancy, computing infrastructure, and other information service activities",K_61_612_6120
"Recreational, cultural and sporting activities (92)",Television programming and broadcasting activities,J,60.2,Television programming and broadcasting activities,Television programming and broadcasting activities,Programming and broadcasting activities,Information and communication,J_60_602_6020,"Television programming, broadcasting and video distribution activities","Television programming, broadcasting and video distribution activities","Programming, broadcasting, news agency and other content distribution activities","Publishing, broadcasting, and content production and distribution activities",J_60_602_6020
Other business activities (74),Other human resources provision,N,78.3,Other human resources provision,Other human resources provision,Employment activities,Administrative and support service activities,N_78_783_7830,Temporary employment agency activities and other human resource provisions,Temporary employment agency activities and other human resource provisions,Employment activities,Administrative and support service activities,O_78_782_7820
Other business activities (74),Temporary employment agency activities,N,78.2,Temporary employment agency activities,Temporary employment agency activities,Employment activities,Administrative and support service activities,N_78_782_7820,Temporary employment agency activities and other human resource provisions,Temporary employment agency activities and other human resource provisions,Employment activities,Administrative and support service activities,O_78_782_7820
Education (80),Post-secondary non-tertiary education,P,85.41,Higher education,Higher education,Education,Education,P_85_853_8530,Tertiary education,Tertiary education,Education,Education,Q_85_854_8540
Education (80),Tertiary education,P,85.42,Higher education,Higher education,Education,Education,P_85_853_8530,Tertiary education,Tertiary education,Education,Education,Q_85_854_8540
Supporting and auxiliary transport activities; activities of travel agencies (63),Tour operator activities,N,79.12,Tour operator activities,Travel agency and tour operator activities,"Travel agency, tour operator, reservation service and related activities",Administrative and support service activities,N_79_791_7912,Tour operator activities,Travel agency and tour operator activities,"Travel agency, tour operator, and other travel related activities",Administrative and support service activities,O_79_791_7912
Other business activities (74),Translation and interpretation activities,M,74.3,"Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities","Professional, scientific and technical activities",M_74_749_7490,Translation and interpretation activities,Translation and interpretation activities,"Other professional, scientific and technical activities","Professional, scientific and technical activities",N_74_743_7430
Other business activities (74),"Other professional, scientific and technical activities n.e.c.",M,74.9,"Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities","Professional, scientific and technical activities",M_74_749_7490,Translation and interpretation activities,Translation and interpretation activities,"Other professional, scientific and technical activities","Professional, scientific and technical activities",N_74_743_7430
Transmission of electricity,Transmission of electricity,D,35.12,Transmission and distribution of electricity,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Transmission and distribution of electricity,"Electric power generation, transmission and distribution activities","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3513
Distribution and trade of electricity,Distribution of electricity,D,35.13,Transmission and distribution of electricity,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Transmission and distribution of electricity,"Electric power generation, transmission and distribution activities","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3513
Distribution and trade of electricity,Trade of electricity,D,35.14,Transmission and distribution of electricity,"Electric power generation, transmission and distribution","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3510,Transmission and distribution of electricity,"Electric power generation, transmission and distribution activities","Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply",D_35_351_3513
Transport via pipelines,Transport via pipeline,H,49.5,Transport via pipeline,Transport via pipeline,Land transport and transport via pipelines,Transportation and storage,H_49_493_4930,Transport via pipeline,Transport via pipeline,Land transport and transport via pipelines,Transportation and storage,H_49_493_4930
Supporting and auxiliary transport activities; activities of travel agencies (63),Travel agency activities,N,79.11,Travel agency activities,Travel agency and tour operator activities,"Travel agency, tour operator, reservation service and related activities",Administrative and support service activities,N_79_791_7911,Travel agency activities,Travel agency and tour operator activities,"Travel agency, tour operator, and other travel related activities",Administrative and support service activities,O_79_791_7911
"Manufacture of fabricated metal products, except machinery and equipment (28)",Treatment and coating of metals,C,25.61,Treatment and coating of metals; machining,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2592,Treatment and coating of metals; machining,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2592
"Manufacture of fabricated metal products, except machinery and equipment (28)",Machining,C,25.62,Treatment and coating of metals; machining,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2592,Treatment and coating of metals; machining,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2592
"Biogasification of sewage slugde, incl. land application",Treatment and disposal of hazardous waste,E,38.22,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3822,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3822
Incineration of waste: Metals and Inert materials,Treatment and disposal of hazardous waste,E,38.22,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3822,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3822
Incineration of waste: Oil/Hazardous waste,Treatment and disposal of hazardous waste,E,38.22,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3822,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3822
Landfill of waste: Inert/metal/hazardous,Treatment and disposal of hazardous waste,E,38.22,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3822,Treatment and disposal of hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3822
"Biogasification of food waste, incl. land application",Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
"Biogasification of paper, incl. land application",Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
"Composting of food waste, incl. land application",Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
"Composting of paper and wood, incl. land application",Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
Incineration of waste: Food,Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
Incineration of waste: Paper,Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
Incineration of waste: Plastic,Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
Incineration of waste: Textiles,Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
Incineration of waste: Wood,Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
Landfill of waste: Food,Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
Landfill of waste: Paper,Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
Landfill of waste: Plastic,Treatment and disposal of non-hazardous waste,E,38.21,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal activities; materials recovery","Water supply; sewerage, waste management and remediation activities",E_38_382_3821,Treatment and disposal of non-hazardous waste,Waste treatment and disposal,"Waste collection, treatment and disposal, and recovery activities","Water supply; sewerage, waste management and remediation activities",E_38_382_3821
